food_name,serving_quantity,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,saturated_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,zinc_mg,vitamin_a_ug,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_ug,vitamin_b12_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug
Soya Chunks (Dry Raw),100 g,345,52.0,33.0,0.5,13.0,4.5,0.08,0,20,1450,350,14.5,240,640,4.8,0,0.45,0.25,2.8,0.65,0.41,175.0,0,0,0,0.15,1.2
Spinach / Drumstick / Amaranth / Fenugreek Leaves (Raw),100 g,23,2.9,3.6,0.4,2.2,0.4,0.06,0,79,558,99,2.71,79,49,0.53,469,0.08,0.19,0.72,0.06,0.2,194.0,0,28.1,0,2.03,482.9
Sprouts Salad,100 g,62,4.2,9.4,0.4,2.8,3.1,0.06,0,15,214,24,1.12,28,64,0.42,32,0.09,0.05,0.65,0.18,0.08,24.0,0,14.5,0,0.32,4.2
Sprouts Sundal / Green Gram Sundal,100 g,145,7.2,18.5,4.8,4.2,1.6,1.8,0,210,284,32,1.65,44,108,0.74,12,0.14,0.06,0.82,0.24,0.09,36.5,0,4.5,0,0.45,2.2
Sugarcane Juice,100 g (~100ml),68,0.1,17.4,0.1,0.4,15.6,0.01,0,6,68,12,0.38,9,8,0.04,0,0.01,0.02,0.08,0.04,0.01,1.4,0,1.1,0,0.02,0.1
"Sukku Coffee (Ginger-Pepper Brew, Unsweetened)",100 g,8,0.2,1.6,0.1,0.3,0.1,0.01,0,4,34,12,0.24,6,8,0.05,0,0.01,0.01,0.12,0.04,0.02,1.1,0,0.4,0,0.02,0.1
Sundal (White Chickpeas / Chana),100 g,164,8.1,20.8,5.4,5.6,1.1,0.6,0,230,284,42,2.2,46,118,0.82,11,0.15,0.05,0.72,0.25,0.11,42.0,0,1.8,0,0.48,2.4
Sundals Matrix (Kollu Sundal / Chickpea / Green Gram),100 g,145,7.2,18.5,4.8,4.2,1.6,1.8,0,210,284,32,1.65,44,108,0.74,12,0.14,0.06,0.82,0.24,0.09,36.5,0,4.5,0,0.45,2.2
Sweet Paniyaram,1 piece (~25g),65,0.7,11.2,1.8,0.5,4.5,0.6,0,45,42,9,0.42,9,16,0.11,2,0.02,0.01,0.14,0.04,0.02,1.1,0,0.1,0,0.12,0.3
Sweet Potato (Raw),100 g,86,1.6,20.1,0.1,3.0,4.2,0.02,0,55,337,30,0.61,25,47,0.3,709,0.08,0.06,0.56,0.8,0.21,11.0,0,2.4,0,0.26,1.8
Tamarind Rice,100 g,182,3.4,27.2,6.8,1.4,2.1,1.1,0,310,94,22,0.92,22,54,0.41,8,0.06,0.03,0.52,0.15,0.05,7.5,0,1.2,0,0.64,2.1
Tamarind Rice (Puliyodarai),100 g,182,3.4,27.2,6.8,1.4,2.1,1.1,0,310,94,22,0.92,22,54,0.41,8,0.06,0.03,0.52,0.15,0.05,7.5,0,1.2,0,0.64,2.1
Tandoori Chicken / Grilled Chicken,100 g,165,24.8,1.1,6.8,0.2,0.1,1.9,78,380,245,18,0.94,25,182,0.95,14,0.06,0.12,8.2,0.74,0.42,4.5,0.32,0.6,0.1,0.42,1.1
Tandoori Roti,1 piece (~60g),148,4.9,30.5,0.6,4.1,0.3,0.1,0,160,174,21,1.95,61,141,1.12,0,0.22,0.05,2.24,0.34,0.14,21.0,0,0,0,0.48,1.1
Tea / Coffee / Filter Coffee (With Milk & Sugar),100 g,65,2.1,8.5,2.5,0,7.8,1.5,8,32,115,78,0.04,11,62,0.28,22,0.02,0.09,0.21,0.22,0.03,3.4,0.24,0.4,0.04,0.04,0.1
Tender Coconut / Coconut Water,100 g (~100ml),19,0.7,3.7,0.2,1.1,2.6,0.15,0,105,250,24,0.29,25,20,0.1,0,0.03,0.06,0.08,0.04,0.03,3.0,0,2.4,0,0.0,0.0
Tender Coconut Water,100 g,19,0.7,3.7,0.2,1.1,2.6,0.15,0,105,250,24,0.29,25,20,0.1,0,0.03,0.06,0.08,0.04,0.03,3.0,0,2.4,0,0.0,0.0
Thinai Dosa,1 piece (~65g),134,3.9,22.1,2.8,2.1,0.1,0.4,0,180,122,16,1.35,38,94,0.64,1,0.14,0.04,1.15,0.22,0.09,15.2,0,0,0,0.38,1.3
Thinai Pongal,100 g,178,5.2,22.8,6.9,2.8,0.2,3.5,11,280,158,22,1.62,46,112,0.78,44,0.16,0.05,1.25,0.26,0.11,21.0,0.01,0.3,0.07,0.38,1.2
Tofu (Firm),100 g,76,8.1,1.9,4.8,0.3,0.4,0.7,0,7,121,350,5.4,30,97,0.8,7,0.08,0.05,0.38,0.07,0.05,15.0,0,0.1,0,0.01,2.4
Tomato (Raw),100 g,18,0.9,3.9,0.2,1.2,2.6,0.03,0,5,237,10,0.27,11,24,0.17,42,0.04,0.02,0.59,0.25,0.08,15.0,0,13.7,0,0.54,7.9
Tomato Chutney / Onion Chutney,100 g,84,1.4,8.2,5.4,1.6,4.1,0.8,0,345,195,14,0.58,12,28,0.21,42,0.05,0.03,0.48,0.14,0.06,11.0,0,9.2,0,0.58,2.1
Tomato Rice,100 g,154,2.9,24.1,5.1,1.2,1.6,0.8,0,290,122,16,0.62,18,44,0.35,26,0.05,0.03,0.54,0.15,0.06,8.2,0,4.8,0,0.52,1.9
"Tuna (Canned in Water, Drained)",100 g,116,25.5,0.0,0.8,0,0,0.2,36,338,237,11,1.54,27,163,0.77,14,0.03,0.06,13.3,0.21,0.43,4.0,2.2,0,1.7,0.68,0.0
Upma / Rava Upma,100 g,142,3.2,22.1,4.5,1.2,0.6,0.8,0,310,85,16,0.78,18,48,0.36,14,0.08,0.03,0.72,0.14,0.05,9.5,0,1.8,0,0.48,1.6
Uthappam / Onion / Tomato / Vegetable Uthappam,1 piece (~120g),215,4.8,38.5,4.2,2.6,2.1,0.8,0,310,160,24,1.32,31,74,0.52,32,0.11,0.05,0.74,0.22,0.09,11.5,0,4.2,0,0.54,2.2
Vadacurry,100 g,168,5.4,14.2,9.8,3.1,1.1,1.6,0,340,210,32,1.45,29,82,0.64,35,0.11,0.05,0.88,0.22,0.08,22.5,0,2.4,0,0.85,2.8
Varagu Upma,100 g,138,3.6,21.5,4.1,3.4,0.4,0.7,0,305,114,19,1.15,42,88,0.68,12,0.12,0.04,0.88,0.22,0.08,13.5,0,1.6,0,0.45,1.5
Vatha Kuzhambu / Kara / Puli Kuzhambu,100 g,88,1.2,11.4,4.3,1.9,4.8,0.6,0,340,128,31,0.95,18,26,0.24,34,0.03,0.02,0.45,0.11,0.05,8.5,0,2.1,0,0.54,2.2
Veg Biryani / Mushroom Biryani,100 g,162,3.4,24.2,5.7,1.8,1.1,1.8,2,320,124,22,0.92,20,62,0.51,24,0.06,0.04,1.15,0.24,0.08,12.5,0.02,2.1,0.05,0.46,2.2
Veg Fried Rice / Schezwan Fried Rice,100 g,168,3.1,27.4,5.2,1.4,1.6,0.9,0,410,118,19,0.84,15,52,0.41,26,0.06,0.03,1.1,0.18,0.06,11.0,0,3.1,0,0.44,2.1
Veg Meals / Full Meals / Banana Leaf Meals (Composite Density),100 g,138,3.2,22.4,4.1,2.4,1.8,1.2,2,310,165,38,0.95,26,65,0.52,42,0.08,0.04,0.72,0.21,0.07,16.5,0.02,4.2,0.02,0.45,3.8
Veg Puff,1 piece (~80g),285,4.1,28.5,17.2,2.1,1.4,8.5,0,380,114,18,0.95,16,54,0.38,18,0.08,0.04,1.2,0.22,0.06,16.5,0,2.4,0,1.65,4.2
Vegetable Biryani / Mushroom Biryani,100 g,162,3.4,24.2,5.7,1.8,1.1,1.8,2,320,124,22,0.92,20,62,0.51,24,0.06,0.04,1.15,0.24,0.08,12.5,0.02,2.1,0.05,0.46,2.2
Vegetable Biryani / Mushroom Biryani / Pulao,100 g,162,3.4,24.2,5.7,1.8,1.1,1.8,2,320,124,22,0.92,20,62,0.51,24,0.06,0.04,1.15,0.24,0.08,12.5,0.02,2.1,0.05,0.46,2.2
Vegetable Kurma,100 g,112,2.2,9.5,7.6,2.4,2.1,4.5,0,290,185,26,0.82,18,45,0.34,68,0.06,0.04,0.62,0.19,0.07,15.4,0,4.8,0,0.42,2.5
Vegetable Kurma / Mixed Vegetable Curry,100 g,112,2.2,9.5,7.6,2.4,2.1,4.5,0,290,185,26,0.82,18,45,0.34,68,0.06,0.04,0.62,0.19,0.07,15.4,0,4.8,0,0.42,2.5
Vegetable Sandwich / Whole Wheat Sandwich,1 piece (~120g),195,6.4,34.8,3.2,5.4,2.9,0.6,0,340,210,48,1.82,44,98,0.88,42,0.16,0.07,2.1,0.34,0.15,28.5,0,8.5,0,0.55,4.8
Wheat Dosa,1 piece (~60g),118,3.9,22.8,1.8,2.6,0.3,0.3,0,165,115,14,1.12,38,92,0.65,2,0.12,0.04,1.25,0.22,0.09,14.5,0,0.1,0,0.32,1.1
Wheat Rava Upma,100 g,134,4.1,22.4,3.9,3.1,0.5,0.6,0,290,128,19,1.22,36,85,0.62,15,0.14,0.04,1.35,0.24,0.1,14.8,0,1.9,0,0.44,1.4
White Rice (Cooked),100 g,130,2.4,28.2,0.2,0.4,0.05,0.05,0,5,26,3,0.2,12,37,0.42,0,0.02,0.01,0.4,0.15,0.05,3.0,0,0,0,0.03,0.1
Whole Wheat Sandwich / Vegetable Sandwich,1 piece (~120g),195,6.4,34.8,3.2,5.4,2.9,0.6,0,340,210,48,1.82,44,98,0.88,42,0.16,0.07,2.1,0.34,0.15,28.5,0,8.5,0,0.55,4.8
Yam / Colocasia (Raw Tuber),100 g,118,1.5,27.9,0.2,4.1,0.5,0.04,0,9,816,17,0.54,21,55,0.24,7,0.11,0.03,0.55,0.31,0.29,23.0,0,17.1,0,0.35,2.3
